Ano;Estado;Sigla;Temp_Media_C;Chuva_Media_Anual_mm
2019;Acre;AC;27,961342;
2019;Amazonas;AM;28,025076;
2019;Pará;PA;28,267792;
2019;Amapá;AP;26,99597;
2019;Tocantins;TO;33,37244;
2019;Maranhão;MA;31,512125;
2019;Piauí;PI;34,194477;
2019;Ceará;CE;33,73182;
2019;Rio Grande do Norte;RN;34,748165;
2019;Paraíba;PB;34,03069;
2019;Pernambuco;PE;33,68977;
2019;Alagoas;AL;32,570152;
2019;Sergipe;SE;32,189262;
2019;Bahia;BA;33,25317;
2019;Minas Gerais;MG;30,135162;
2019;Espírito Santo;ES;29,393114;
2019;Rio de Janeiro;RJ;28,505503;
2019;São Paulo;SP;29,510986;
2019;Paraná;PR;27,208996;
2019;Santa Catarina;SC;23,383467;
2019;Rio Grande do Sul;RS;24,64218;
2019;Mato Grosso do Sul;MS;32,166042;
2019;Mato Grosso;MT;31,386011;
2019;Goiás;GO;32,89797;
2019;Distrito Federal;DF;31,55514;
2019;Rondônia;RO;30,039839;
2019;Roraima;RR;29,356962;
2020;Acre;AC;28,37685;1449,845947265625
2020;Amazonas;AM;28,369385;2305,82177734375
2020;Pará;PA;28,69269;1897,7708740234375
2020;Amapá;AP;26,9976;2460,53759765625
2020;Tocantins;TO;33,29826;1163,5975341796875
2020;Maranhão;MA;31,275042;2080,685302734375
2020;Piauí;PI;32,797024;2108,786376953125
2020;Ceará;CE;32,82586;2821,541259765625
2020;Rio Grande do Norte;RN;33,78742;3239,038330078125
2020;Paraíba;PB;32,675293;2810,615234375
2020;Pernambuco;PE;31,793373;2172,21435546875
2020;Alagoas;AL;30,982306;1713,5479736328125
2020;Sergipe;SE;30,601477;1126,96728515625
2020;Bahia;BA;30,525358;756,40478515625
2020;Minas Gerais;MG;28,82834;567,8970336914062
2020;Espírito Santo;ES;27,990452;487,541015625
2020;Rio de Janeiro;RJ;27,400576;458,4141540527344
2020;São Paulo;SP;29,885487;546,7803344726562
2020;Paraná;PR;27,342817;1101,2564697265625
2020;Santa Catarina;SC;23,652884;1313,503173828125
2020;Rio Grande do Sul;RS;25,351542;1162,228271484375
2020;Mato Grosso do Sul;MS;32,66552;688,1231079101562
2020;Mato Grosso;MT;32,144638;789,3314819335938
2020;Goiás;GO;32,419945;556,7959594726562
2020;Distrito Federal;DF;30,147373;579,0469360351562
2020;Rondônia;RO;30,472298;786,0611572265625
2020;Roraima;RR;29,212767;2523,412841796875
2021;Acre;AC;27,975475;1596,6424560546875
2021;Amazonas;AM;27,92548;2597,51171875
2021;Pará;PA;28,129042;2312,2890625
2021;Amapá;AP;26,785704;2603,92529296875
2021;Tocantins;TO;32,84958;893,3468017578125
2021;Maranhão;MA;30,59811;1962,5977783203125
2021;Piauí;PI;33,16887;1614,7952880859375
2021;Ceará;CE;33,833046;2883,157470703125
2021;Rio Grande do Norte;RN;36,12467;3151,848876953125
2021;Paraíba;PB;34,482075;2111,91650390625
2021;Pernambuco;PE;32,84002;1316,82421875
2021;Alagoas;AL;31,358839;929,5368041992188
2021;Sergipe;SE;31,443068;755,5465087890625
2021;Bahia;BA;31,683554;538,3896484375
2021;Minas Gerais;MG;28,978802;251,55079650878906
2021;Espírito Santo;ES;28,076488;159,94549560546875
2021;Rio de Janeiro;RJ;27,13313;186,48309326171875
2021;São Paulo;SP;29,715918;286,2535705566406
2021;Paraná;PR;26,914558;526,7512817382812
2021;Santa Catarina;SC;22,585295;586,6702270507812
2021;Rio Grande do Sul;RS;24,498508;704,7776489257812
2021;Mato Grosso do Sul;MS;32,737366;388,7146301269531
2021;Mato Grosso;MT;31,334715;645,355224609375
2021;Goiás;GO;32,074406;404,150390625
2021;Distrito Federal;DF;30,089159;588,3098754882812
2021;Rondônia;RO;30,188522;941,9437255859375
2021;Roraima;RR;28,171896;2994,064453125
2022;Acre;AC;27,82026;2097,829345703125
2022;Amazonas;AM;27,71499;2711,076171875
2022;Pará;PA;27,996288;2513,65869140625
2022;Amapá;AP;26,44708;2524,1005859375
2022;Tocantins;TO;32,50259;1150,5013427734375
2022;Maranhão;MA;30,21322;2239,146484375
2022;Piauí;PI;31,586296;1878,948486328125
2022;Ceará;CE;30,592442;2768,6025390625
2022;Rio Grande do Norte;RN;32,03722;3083,7587890625
2022;Paraíba;PB;30,784277;3040,78857421875
2022;Pernambuco;PE;29,816227;2007,598388671875
2022;Alagoas;AL;29,689363;1282,1209716796875
2022;Sergipe;SE;29,761543;835,2742309570312
2022;Bahia;BA;29,899223;484,21282958984375
2022;Minas Gerais;MG;28,088041;346,9861145019531
2022;Espírito Santo;ES;27,646278;498,0377502441406
2022;Rio de Janeiro;RJ;26,559547;517,4263305664062
2022;São Paulo;SP;27,92999;428,910888671875
2022;Paraná;PR;25,393322;600,6950073242188
2022;Santa Catarina;SC;22,12049;758,1682739257812
2022;Rio Grande do Sul;RS;23,935312;922,8568115234375
2022;Mato Grosso do Sul;MS;30,76352;393,40911865234375
2022;Mato Grosso;MT;31,003658;831,406005859375
2022;Goiás;GO;31,645977;493,7293701171875
2022;Distrito Federal;DF;29,73946;719,638427734375
2022;Rondônia;RO;29,774256;1087,8995361328125
2022;Roraima;RR;28,03439;2306,6875
2023;Acre;AC;28,086733;1548,36181640625
2023;Amazonas;AM;28,206186;2242,094970703125
2023;Pará;PA;28,568756;1651,85986328125
2023;Amapá;AP;27,065195;1888,155517578125
2023;Tocantins;TO;32,485023;1203,5621337890625
2023;Maranhão;MA;30,995895;1749,625732421875
2023;Piauí;PI;32,39529;1824,073486328125
2023;Ceará;CE;31,972078;2350,827392578125
2023;Rio Grande do Norte;RN;33,194366;2623,852294921875
2023;Paraíba;PB;32,01386;2266,622802734375
2023;Pernambuco;PE;31,482937;1755,0279541015625
